description,priority,parity
"I triggered a Jenkins deployment for the settlement-api service after merging PR #1842, but the Kubernetes rollout stalled with CrashLoopBackOff errors. Pod logs show 'Error: failed to connect to Redis on port 6379'. Production transaction retries are backing up and reconciliation jobs are delayed.",high,
Our Airflow ETL pipeline for compliance reporting failed during the dbt transform stage. Postgres logs report deadlock detected between ledger_snapshot and account_balance tables. Similar behavior occurred during INC-882 last quarter after a schema migration.,high,
I need RBAC access to the fraud-detection namespace in the staging EKS cluster. Current service account permissions prevent me from deploying Spark workers required for validation testing. kubectl returns 'Forbidden: cannot create deployments.apps'.,medium,
The GitHub Actions workflow for the payment-routing-service is failing during Docker image build. Error output includes 'npm ERR! peer dependency conflict'. The issue started after upgrading TypeScript dependencies yesterday.,medium,
Grafana dashboards for the trading-engine are missing Kafka consumer lag metrics after the Datadog agent upgrade. The metrics endpoint on port 9090 is reachable but nothing is being indexed into Elasticsearch.,medium,
I am seeing intermittent HTTP 500 responses from the ledger reconciliation API in production. Stack trace shows 'java.lang.NullPointerException at LedgerService.validateEntry'. This is impacting settlement confirmation processing and may delay client fund transfers.,high,
Terraform apply for the sandbox VPC environment failed with 'Error locking state in DynamoDB'. The state file appears locked by a previous pipeline execution that terminated unexpectedly. Need assistance releasing the lock safely.,medium,
The MongoDB replica set supporting the risk-engine analytics service has replication lag exceeding 20 minutes. Several downstream reporting jobs are now consuming stale exposure data. This creates a potential compliance reporting issue before market close.,high,
My local Docker compose environment for the reconciliation worker stopped starting after updating Docker Desktop. Kafka and Redis containers exit immediately with 'network bridge not found'. I already recreated volumes and images without success.,medium,
"PagerDuty generated repeated alerts overnight for CPU saturation on settlement-worker pods, but actual node utilization remained under 30%. It looks like the Datadog threshold configuration introduced in deployment v5.3.2 is incorrect.",low,
The Jenkins pipeline for compliance-pipeline deployment failed during the Helm upgrade stage. Error snippet: 'UPGRADE FAILED: another operation is in progress'. Release rollback did not complete successfully.,high,
I need MFA reset assistance for the production VPN account tied to the treasury settlement environment. My current authenticator registration expired after device replacement and I cannot access bastion hosts.,medium,
The FastAPI service handling transaction enrichment is leaking memory after deployment v2.8.4. Kubernetes pods restart every 15 minutes due to OOMKilled events. This is affecting downstream Kafka consumers and delaying trade processing.,high,
Our dbt pipeline for compliance exports failed because connection pools on the Postgres reporting cluster were exhausted. Error observed: 'remaining connection slots are reserved for superuser connections'. Airflow retries are now backing up.,high,
The internal DNS service in staging cannot resolve the hostname for redis-cache.internal.local from Kubernetes worker nodes. nslookup times out intermittently and service discovery fails during integration tests.,medium,
I am unable to deploy the latest React admin dashboard because the GitHub Actions runner lacks disk space. Docker layer caching filled the ephemeral volume during image build. Need cleanup on shared runners.,medium,
Deployment version v7.11.0 of the settlement-engine introduced a regression where duplicate ledger entries are generated for retried payment callbacks. We identified this after reviewing logs tied to incident INC-4419.,high,
I need a firewall rule update allowing outbound HTTPS traffic from the reconciliation-service namespace to the external sanctions screening API. Current requests fail with connection timeout errors.,medium,
The ELK stack is dropping logs from Kafka brokers in prod-us-east-1. Logstash containers restarted repeatedly overnight with 'java heap space' errors. Missing logs are affecting incident investigation workflows.,medium,
I cannot start the local FastAPI development server after updating the Python SDK version required by PR #9012. pip reports dependency conflicts between pydantic and internal auth packages.,low,
Redis cache invalidation is failing for the fraud scoring service after deployment v3.14.2. Users are receiving stale risk scores for several minutes after updates. Revenue-impacting transactions may be incorrectly blocked.,high,
The Terraform module provisioning Kafka topics in staging failed due to AWS quota exhaustion for IAM roles. Error message: 'LimitExceeded: Cannot exceed quota for RolesPerAccount'.,medium,
We are seeing elevated latency between the trading-engine and pricing-service over the internal VPN. Round-trip times increased from 4ms to 180ms during peak market hours.,high,
Jenkins build jobs for the compliance-api fail during npm install with 'EAI_AGAIN registry.npmjs.org'. The issue appears related to proxy configuration on the build agents.,medium,
Need assistance rotating API keys used by the reconciliation-service for Stripe integration. Existing keys expire this weekend and current Vault permissions prevent updates.,medium,
The payment webhook consumer is missing callback deliveries from the external banking provider. Logs show repeated HTTP 429 responses indicating rate limiting. Settlement retries are accumulating in Kafka queues.,high,
I noticed a severe N+1 query issue in the Django transaction-reporting endpoint after merge commit 4fa91c2. API response times increased from 300ms to over 8 seconds under load.,medium,
Ansible playbooks for provisioning new bastion hosts are failing on package installation tasks. Error output includes 'apt lock could not be acquired'. Similar issue occurred during OPS-1172.,low,
The Datadog agent running on EKS worker nodes stopped forwarding metrics after node upgrades. Agent logs contain 'unable to validate API key'. Grafana dashboards are now incomplete.,medium,
Production deployment for the ledger-service failed because Flyway migrations timed out while altering a heavily used transactions table. The rollout is blocked and rollback scripts also failed.,high,
I need access to the production MongoDB read replica for investigation of reconciliation mismatches. Current IAM role only permits staging access.,low,
The Airflow DAG responsible for nightly sanctions screening imports failed because the SFTP provider changed host keys unexpectedly. Connection attempts now return 'Host key verification failed'.,medium,
Several Kubernetes pods in the fraud-detection namespace are stuck in Pending state because cluster autoscaler reached CPU limits. Production scoring throughput is reduced by nearly 40%.,high,
The React build pipeline in GitHub Actions fails during webpack compilation with 'JavaScript heap out of memory'. This started after introducing new charting components.,medium,
Our Postgres ledger cluster reports index corruption on account_balance_idx during nightly VACUUM operations. Query latency increased significantly and settlement reports are delayed.,high,
VPN connectivity to the disaster recovery environment is unstable from the Kathmandu office network. SSH sessions disconnect every few minutes while accessing backup nodes.,medium,
The PagerDuty escalation policy for payment-processing alerts is routing incidents to the deprecated SRE rotation. This configuration drift happened after the org restructuring.,low,
I am unable to run local integration tests because Docker compose cannot allocate ports 5432 and 6379. Existing orphaned containers appear stuck after a failed restart.,low,
The compliance-pipeline Spark job is failing due to insufficient executor memory after deployment v6.1.0. Error logs contain 'ExecutorLostFailure: Container killed by YARN for exceeding memory limits'.,high,
The internal SMTP relay used for settlement notifications is intermittently rejecting outbound messages with '451 Temporary local problem'. Retry queues are growing in RabbitMQ.,medium,
Need assistance renewing the wildcard SSL certificate for internal-api.fintech.local before expiration tomorrow. Several ingress controllers already report certificate warnings.,high,
The reconciliation worker consumes Kafka messages significantly slower after the latest Java runtime upgrade. CPU usage remains normal but consumer lag exceeded 2 million events overnight.,high,
I observed repeated false-positive disk alerts from Datadog on EKS nodes after enabling ephemeral storage metrics. Actual utilization is below configured thresholds.,low,
Terraform destroy operations for ephemeral QA environments fail because security groups remain attached to orphaned ENIs. Cleanup jobs are timing out repeatedly.,medium,
The payment processor integration is returning intermittent OAuth token validation failures. Logs show 'invalid_grant' responses even though credentials were recently rotated.,high,
I cannot complete local onboarding for the fraud-engine because the internal npm registry SSL chain is not trusted by Node 22. npm install exits with certificate verification errors.,low,
"A blue-green deployment for the transaction-routing-service failed during traffic switch-over. Half the requests are still routed to the previous environment, causing inconsistent settlement states.",high,
The Redis cluster supporting session management experienced connection pool exhaustion after increased market activity this morning. Multiple internal APIs are timing out waiting for Redis connections.,high,
Grafana panels for settlement throughput are blank after Elasticsearch shard relocation completed overnight. Queries return empty datasets despite logs being present.,medium,
Need firewall changes allowing outbound traffic from Airflow workers to the external KYC provider on port 8443. Current requests are blocked by network ACLs.,medium,
The Jenkins shared library update introduced syntax errors into multiple CI pipelines. Build logs show 'groovy.lang.MissingMethodException'. Around 40 repositories are affected.,high,
My local React environment fails after upgrading to Node 22 because eslint plugins are incompatible. npm audit fix did not resolve the issue.,low,
The reconciliation API is returning duplicate transaction IDs after deployment v8.4.1. We suspect a race condition introduced in the async ledger write path. Finance teams are reporting inconsistent balances.,high,
MongoDB backup snapshots for the fraud-analytics cluster failed overnight because backup agents lost connectivity to object storage. No successful snapshot exists for the last 18 hours.,high,
The Kubernetes ingress controller in staging keeps restarting with 'failed to list Ingress resources'. RBAC permissions may have been removed accidentally.,medium,
Datadog monitors for Kafka broker health are missing alerts after migration to the new observability account. Metrics ingestion stopped around 02:00 UTC.,medium,
I need temporary sudo access on the reconciliation bastion host to debug file permission issues affecting ETL exports. Current access policies block package installation.,low,
The external sanctions screening API began throttling requests after deployment version v4.9.2 increased concurrency settings. Error rate exceeded 35% during peak hours.,medium,
Spark jobs in the compliance namespace fail with 'ClassNotFoundException' after the latest dependency refresh. The issue started immediately after merging PR #5520.,medium,
Our FastAPI gateway is returning 502 errors because upstream gRPC connections to the pricing-engine are timing out. Revenue-impacting trade submissions are failing intermittently.,high,
The Terraform module managing Route53 DNS records produced duplicate entries for internal payment services. Service discovery became inconsistent across namespaces.,medium,
